layer,norm_trigger,sim_trigger,align_trigger,norm_freq_content,sim_freq_content,align_freq_content,norm_discourse,sim_discourse,align_discourse,norm_random,sim_random,align_random
11,0.620898425579071,0.16812685132026672,0.10792849212884903,0.6603067517280579,0.09149003028869629,0.11643093079328537,0.6179407835006714,0.19683222472667694,0.10011079162359238,0.6763632297515869,0.13922172784805298,0.11084236949682236
12,0.6633021235466003,0.16915836930274963,0.10472334921360016,0.7004113793373108,0.10438883304595947,0.1121426671743393,0.6535261869430542,0.1945911943912506,0.09595596790313721,0.7088300585746765,0.1450710892677307,0.10507797449827194
13,0.7036606669425964,0.1578480303287506,0.1012398898601532,0.7238150238990784,0.0949510708451271,0.1063372939825058,0.6883093118667603,0.18608221411705017,0.09336720407009125,0.7325276136398315,0.1430029273033142,0.10426459461450577
14,0.7281947731971741,0.1660112887620926,0.09884099662303925,0.7473321557044983,0.0941302627325058,0.1051241010427475,0.7199540734291077,0.2152601182460785,0.08932239562273026,0.7471736669540405,0.14532850682735443,0.10337074846029282
15,0.7749289274215698,0.1600952446460724,0.09329117089509964,0.7884700298309326,0.0912129357457161,0.0978354662656784,0.7535224556922913,0.22432388365268707,0.08191253989934921,0.7902177572250366,0.14279018342494965,0.09869678318500519
16,0.8127582669258118,0.15731239318847656,0.08459454029798508,0.8018422722816467,0.08875171840190887,0.0915597602725029,0.7806234955787659,0.24335700273513794,0.08207540214061737,0.7820107936859131,0.13414211571216583,0.0929735004901886
17,0.8864101767539978,0.14976809918880463,0.08384056389331818,0.8535621166229248,0.09577001631259918,0.09094934910535812,0.8452752232551575,0.2511509656906128,0.07877318561077118,0.8145144581794739,0.14637191593647003,0.08805955201387405
18,0.8748287558555603,0.14686353504657745,0.07392535358667374,0.8184565305709839,0.08611392974853516,0.08049637824296951,0.812458336353302,0.2494044154882431,0.06752995401620865,0.7747696042060852,0.1582099348306656,0.08545882999897003
19,0.8927181363105774,0.14559347927570343,0.10663405805826187,0.8153783679008484,0.07704584300518036,0.07556553184986115,0.8269864916801453,0.23640958964824677,0.08129202574491501,0.7496369481086731,0.16232597827911377,0.07443449646234512
20,0.8979882597923279,0.15102258324623108,0.0709894448518753,0.8463746309280396,0.0676640048623085,0.06521188467741013,0.8405196070671082,0.21774572134017944,0.06714216619729996,0.7764765620231628,0.1573365032672882,0.06362298130989075
21,0.926019549369812,0.15025478601455688,0.06596803665161133,0.8786076903343201,0.06439246982336044,0.060042381286621094,0.8695635199546814,0.20897546410560608,0.06114201247692108,0.7969454526901245,0.1425636261701584,0.058183956891298294
22,0.9534950852394104,0.1437787264585495,0.05731816589832306,0.9330956935882568,0.055808816105127335,0.05548739433288574,0.9138776659965515,0.19548076391220093,0.055067844688892365,0.8454773426055908,0.13622188568115234,0.055485885590314865
23,0.9509745836257935,0.1483490765094757,0.053774040192365646,0.941146731376648,0.057212602347135544,0.05087635666131973,0.9113620519638062,0.20369842648506165,0.05311236158013344,0.8680718541145325,0.13426271080970764,0.05417865887284279
24,0.9230887293815613,0.14979074895381927,0.04957140237092972,0.9490506649017334,0.057761967182159424,0.04549611359834671,0.9076886773109436,0.20485886931419373,0.05217592045664787,0.8975812196731567,0.1292075514793396,0.05413993075489998
25,0.9247337579727173,0.1541796326637268,0.05122457444667816,0.9683970212936401,0.06137843057513237,0.04569341614842415,0.9217026829719543,0.20912590622901917,0.054971348494291306,0.9356788396835327,0.12666934728622437,0.05640649423003197
26,0.9281712770462036,0.1622387021780014,0.051072392612695694,0.9970454573631287,0.07159952074289322,0.047088872641325,0.9375455379486084,0.21163859963417053,0.055344078689813614,0.9836272597312927,0.12627390027046204,0.0576448068022728
27,0.9044027924537659,0.16423922777175903,0.051497455686330795,0.9712966680526733,0.07095560431480408,0.04702271148562431,0.9168879985809326,0.20034143328666687,0.06012314558029175,0.9561203122138977,0.12713314592838287,0.059621524065732956
28,0.8376152515411377,0.16242150962352753,0.05973852053284645,0.8854932188987732,0.07378265261650085,0.0498751737177372,0.8546905517578125,0.19993947446346283,0.07024740427732468,0.8868118524551392,0.13328325748443604,0.061476852744817734
29,0.796552300453186,0.16632294654846191,0.06218882277607918,0.8297200798988342,0.07302422821521759,0.049048539251089096,0.8217056393623352,0.19307363033294678,0.07571537792682648,0.8246685266494751,0.1498773694038391,0.05615786090493202
30,0.7591472268104553,0.18770280480384827,0.0822211354970932,0.7941693067550659,0.1083000972867012,0.06049724295735359,0.8336494565010071,0.2103005200624466,0.11266204714775085,0.7733837962150574,0.2051725685596466,0.06042934209108353
